"","uf","ibge","municipio","cnes","estabelecimento","latitude","longitude","link","pop_vinc","qt_bnf_auxilio_brasil","perc_benef","classificacao","equipes","medicos","enfermeiros","tecnicos","acs","pdte_anual_medicos","pdte_anual_enfermeiros","pdte_anual_tecnicos","pdte_anual_acs"
"59","GO","520870","GOIÂNIA",3238458,"USF PARQUE SANTA RITA","-16.72491","-49.3720813",NA,26456,2010,0.0759752041124887,"baixa vulnerabilidade",7.55885714285714,7.55885714285714,7.55885714285714,15.1177142857143,35.2746666666667,648.051058285714,432.034038857143,1728.13615542857,1344.10589866667
"60","GO","520870","GOIÂNIA",2673940,"USF CONDOMINIO DAS ESMERALDAS","-16.7851607","-49.3568038",NA,14652,1192,0.0813540813540814,"média vulnerabilidade",5.8608,5.8608,5.8608,11.7216,19.536,502.4698272,334.9798848,1339.9195392,744.399744
"61","GO","520870","GOIÂNIA",2506335,"USF FINSOCIAL","-16.6259732","-49.3220803",NA,22333,2629,0.117718174898133,"alta vulnerabilidade",11.1665,11.1665,11.1665,22.333,29.7773333333333,957.348711,638.232474,2552.929896,1134.63550933333
"62","GO","520870","GOIÂNIA",2506912,"USF JARDIM CARAVELAS","-16.7576863","-49.3528568",NA,10786,706,0.0654552197292787,"baixa vulnerabilidade",3.08171428571429,3.08171428571429,3.08171428571429,6.16342857142857,14.3813333333333,264.207692571429,176.138461714286,704.553846857143,547.986325333333
"63","GO","520870","GOIÂNIA",2506939,"USF WALDOMIRO CRUZ RESIDENCIAL ITAIPU","-16.7951051","-49.3756917",NA,15259,1556,0.10197260633069,"alta vulnerabilidade",7.6295,7.6295,7.6295,15.259,20.3453333333333,654.107553,436.071702,1744.286808,775.238581333333
"64","GO","520870","GOIÂNIA",2653907,"USF ANDREIA CRISTINA","-16.7667588","-49.3559823",NA,12779,1018,0.0796619453791376,"baixa vulnerabilidade",3.65114285714286,3.65114285714286,3.65114285714286,7.30228571428571,17.0386666666667,313.027081714286,208.684721142857,834.738884571428,649.241354666667
"65","GO","520870","GOIÂNIA",3373681,"USF MADRE GERMANA","-16.8335683","-49.3644233",NA,6372,849,0.133239171374765,"alta vulnerabilidade",3.186,3.186,3.186,6.372,8.496,273.148524,182.099016,728.396064,323.731584
"66","GO","520870","GOIÂNIA",5277930,"USF RESIDENCIAL YTAPUA","-16.6812563","-49.3963571",NA,6633,763,0.115030906075682,"alta vulnerabilidade",3.3165,3.3165,3.3165,6.633,8.844,284.336811,189.557874,758.231496,336.991776
"67","GO","520870","GOIÂNIA",2339439,"USF VERA CRUZ II","-16.6811628","-49.3910059",NA,17642,2295,0.130087291690284,"alta vulnerabilidade",8.821,8.821,8.821,17.642,23.5226666666667,756.259614,504.173076,2016.692304,896.307690666667
"68","GO","520870","GOIÂNIA",2506785,"USF SAO FRANCISCO","-16.6719895","-49.3233529",NA,11120,928,0.0834532374100719,"média vulnerabilidade",4.448,4.448,4.448,8.896,14.8266666666667,381.344832,254.229888,1016.919552,564.955306666667
