,uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade,ano_mes
119,GO,52009,Oeste I,2021,12,116,2021-12
120,GO,52016,Sudoeste II,2021,12,297,2021-12
121,GO,52010,Oeste II,2021,12,95,2021-12
122,GO,52001,Central,2021,12,1956,2021-12
123,GO,52008,Norte,2021,12,129,2021-12
124,GO,52018,São Patrício II,2021,12,186,2021-12
125,GO,52007,Nordeste II,2021,11,97,2021-11
126,GO,52010,Oeste II,2021,11,118,2021-11
127,GO,52012,Rio Vermelho,2021,11,199,2021-11
128,GO,52014,Serra da Mesa,2021,11,131,2021-11
129,GO,52001,Central,2021,11,1924,2021-11
130,GO,52017,Sul,2021,11,243,2021-11
131,GO,52002,Centro Sul,2021,11,995,2021-11
132,GO,52011,Pirineus,2021,11,584,2021-11
133,GO,52018,São Patrício II,2021,11,188,2021-11
134,GO,52015,Sudoeste I,2021,11,509,2021-11
135,GO,52004,Entorno Sul,2021,11,1000,2021-11
136,GO,52008,Norte,2021,11,152,2021-11
137,GO,52009,Oeste I,2021,11,94,2021-11
138,GO,52005,Estrada de Ferro,2021,11,304,2021-11
139,GO,52003,Entorno Norte,2021,11,301,2021-11
140,GO,52013,São Patrício I,2021,11,140,2021-11
141,GO,52016,Sudoeste II,2021,11,248,2021-11
142,GO,52006,Nordeste I,2021,11,39,2021-11
143,GO,52008,Norte,2021,10,139,2021-10
144,GO,52001,Central,2021,10,2077,2021-10
145,GO,52012,Rio Vermelho,2021,10,165,2021-10
146,GO,52004,Entorno Sul,2021,10,990,2021-10
147,GO,52010,Oeste II,2021,10,117,2021-10
148,GO,52018,São Patrício II,2021,10,172,2021-10
149,GO,52005,Estrada de Ferro,2021,10,304,2021-10
150,GO,52013,São Patrício I,2021,10,148,2021-10
151,GO,52002,Centro Sul,2021,10,1008,2021-10
152,GO,52014,Serra da Mesa,2021,10,118,2021-10
153,GO,52006,Nordeste I,2021,10,54,2021-10
154,GO,52016,Sudoeste II,2021,10,275,2021-10
155,GO,52015,Sudoeste I,2021,10,487,2021-10
156,GO,52017,Sul,2021,10,251,2021-10
157,GO,52007,Nordeste II,2021,10,135,2021-10
158,GO,52011,Pirineus,2021,10,560,2021-10
159,GO,52003,Entorno Norte,2021,10,312,2021-10
160,GO,52009,Oeste I,2021,10,103,2021-10
161,GO,52001,Central,2021,09,2023,2021-09
162,GO,52015,Sudoeste I,2021,09,489,2021-09
163,GO,52002,Centro Sul,2021,09,1010,2021-09
164,GO,52011,Pirineus,2021,09,644,2021-09
165,GO,52006,Nordeste I,2021,09,58,2021-09
