"","ANO","cod_regsaud","FAIXA_ETARIA","POP","regiao_saude","beneficiarios","populacao","sus_dependente","uf","pop_sus_dependente"
"53",2021,52010,"30 a 59",52541,"Oeste II",9711,107577,0.0902702250481051,"52",47798.1121057475
"54",2021,52016,"15 a 29",54934,"Sudoeste II",45734,202826,0.225483912318933,"52",42547.2667606717
"55",2021,52009,"60 ou mais",22130,"Oeste I",5685,113710,0.0499956028493536,"52",21023.5973089438
"56",2021,52018,"15 a 29",42856,"São Patrício II",18826,158481,0.118790265079095,"52",37765.1243997703
"57",2021,52018,"0 a 14",41022,"São Patrício II",18826,158481,0.118790265079095,"52",36148.9857459254
"58",2021,52016,"0 a 14",50303,"Sudoeste II",45734,202826,0.225483912318933,"52",38960.4827586207
"59",2021,52008,"30 a 59",59323,"Norte",6325,136710,0.0462658181552191,"52",56578.3728695779
"60",2021,52002,"30 a 59",410418,"Centro Sul",136516,792519,0.172255807116296,"52",339721.116154944
"61",2021,52018,"60 ou mais",23322,"São Patrício II",18826,158481,0.118790265079095,"52",20551.5734378254
"62",2021,52017,"0 a 14",49758,"Sul",49872,232871,0.214161488549454,"52",39101.7526527563
"63",2021,52013,"30 a 59",73875,"São Patrício I",12192,161827,0.0753397146335284,"52",68309.2785814481
"64",2021,52015,"60 ou mais",56040,"Sudoeste I",106124,392516,0.270368596439381,"52",40888.5438555371
"65",2021,52010,"15 a 29",23880,"Oeste II",9711,107577,0.0902702250481051,"52",21724.3470258512
"66",2021,52004,"60 ou mais",71048,"Entorno Sul",61824,755622,0.0818186871213384,"52",65234.9459174031
"67",2021,52003,"30 a 59",114144,"Entorno Norte",14916,234286,0.0636657760173463,"52",106876.933662276
"68",2021,52014,"15 a 29",28149,"Serra da Mesa",11773,120738,0.097508655104441,"52",25404.2288674651
"69",2021,52006,"30 a 59",18724,"Nordeste I",1596,43915,0.0363429352157577,"52",18043.5148810202
"70",2021,52008,"0 a 14",26401,"Norte",6325,136710,0.0462658181552191,"52",25179.5361348841
"71",2021,52012,"60 ou mais",31351,"Rio Vermelho",9424,192610,0.0489278853642075,"52",29817.0618659467
"72",2021,52002,"60 ou mais",106790,"Centro Sul",136516,792519,0.172255807116296,"52",88394.8023580507
