,codibge,mae_mlp_2021,mape_mlp_2021,jan-2024,feb-2024,mar-2024,apr-2024,may-2024,jun-2024,jul-2024,aug-2024,sep-2024,oct-2024,nov-2024,dec-2024
0,5206,19.989898681640625,2.6658298450158564,721.62537,745.52344,741.8259,717.5059,698.04254,694.1189,696.7633,696.29865,681.85657,667.7139,687.7603,709.43994
1,5207,26.355672200520832,1.7012717594257023,1531.810302734375,1443.33740234375,1735.1929931640625,1632.3150634765625,1612.0333251953125,1465.9422607421875,1594.4674072265625,1490.2166748046875,1459.5447998046875,1491.6383056640625,1405.465576171875,1485.7462158203125
2,5208,41.73386637369792,1.7080043233392757,2418.52197265625,2348.48388671875,2318.304443359375,2284.72607421875,2282.14501953125,2291.44091796875,2279.11474609375,2279.61279296875,2279.102783203125,2320.974609375,2381.85498046875,2427.88623046875
3,5209,27.237864176432293,2.220654930289964,1252.204345703125,1303.3521728515625,1344.1607666015625,1262.5252685546875,1271.5220947265625,1189.65234375,1211.5831298828125,1155.4324951171875,1182.36572265625,1122.4827880859375,1140.3294677734375,1175.1881103515625
4,5210,34.36333211263021,2.139877361583842,1534.617919921875,1540.2266845703125,1622.2816162109375,1571.1912841796875,1543.591552734375,1476.406005859375,1490.452880859375,1478.2081298828125,1473.087158203125,1483.9053955078125,1466.6402587890625,1481.3802490234375
