Estado,codibge,mae_mlp,mape_mlp,ep_stop,seed,ep,batch_size,neuron_config,n_clusters,cluster,jan-2017,feb-2017,mar-2017,apr-2017,may-2017,jun-2017,jul-2017,aug-2017,sep-2017,oct-2017,nov-2017,dec-2017,jan-2018,feb-2018,mar-2018,apr-2018,may-2018,jun-2018,jul-2018,aug-2018,sep-2018,oct-2018,nov-2018,dec-2018,jan-2019,feb-2019,mar-2019,apr-2019,may-2019,jun-2019,jul-2019,aug-2019,sep-2019,oct-2019,nov-2019,dec-2019,jan-2020,feb-2020,mar-2020,apr-2020,may-2020,jun-2020,jul-2020,aug-2020,sep-2020,oct-2020,nov-2020,dec-2020,jan-2021,feb-2021,mar-2021,apr-2021,may-2021,jun-2021,jul-2021,aug-2021,sep-2021,oct-2021,nov-2021,dec-2021,jan-2022,feb-2022,mar-2022,apr-2022,may-2022,jun-2022,jul-2022,aug-2022,sep-2022,oct-2022,nov-2022,dec-2022,jan-2023,feb-2023,mar-2023,apr-2023,may-2023,jun-2023,jul-2023,aug-2023,sep-2023,oct-2023,nov-2023,dec-2023,jan-2024,feb-2024,mar-2024,apr-2024,may-2024,jun-2024,jul-2024,aug-2024,sep-2024,oct-2024,nov-2024,dec-2024,jan-2025,feb-2025,mar-2025,apr-2025,may-2025,jun-2025,jul-2025,aug-2025,sep-2025,oct-2025,nov-2025,dec-2025,jan-2026,feb-2026,mar-2026,apr-2026,may-2026,jun-2026,jul-2026,aug-2026,sep-2026,oct-2026,nov-2026,dec-2026,Unnamed: 0
MT,51003.0,12.75815879222937,12.157443831784056,749.0,10.0,750.0,32.0,"[50, 0, 0]",3.0,0.0,102.66495880112052,82.10100841522217,97.44807295501232,88.55541652441025,95.72733457386494,107.31880356371404,92.21856528520584,88.73215416073799,101.72624549642204,105.74296018481256,86.27050277590752,89.97753268480301,99.16372461244464,101.06860133539884,96.86045248806477,93.8524717092514,102.62471793964504,104.09166879951954,105.1262853294611,108.08711168169977,112.90198329091072,108.67576411366464,109.7137749493122,108.4316494166851,106.94081288576126,103.98364114016294,101.87834785506128,99.04674197733402,101.8364112265408,106.87828615307808,107.9100987315178,112.61187455058098,113.01553454995155,113.96739339828493,110.99327206611632,114.7943863272667,116.27724614739418,117.40013033151628,116.74917382001875,110.66957595944405,116.43500098586082,111.09705337882042,114.06235080957411,119.2579408288002,118.56018650531767,118.07842606306076,119.24097299575806,122.1483427286148,120.64543581008913,114.36196711659431,113.24981647729874,111.92661744356155,114.58654469251633,114.94084683060646,118.58170348405838,118.33975434303284,115.61272996664049,113.9726603925228,115.3120613694191,114.43360230326653,117.8374081850052,113.9097206890583,128.86967223882675,128.0639302134514,125.79537731409071,117.3828871846199,118.51222831010818,123.53857421875,114.38365685939787,112.51634249091148,108.42318952083588,99.701487287879,120.22688484191896,113.9658191204071,115.47078719735146,120.93420308828354,113.15615433454514,114.95273613929749,113.41433960199356,113.17195254564284,112.4742037653923,104.89919990301132,106.1045946329832,111.77702593803406,114.65320575237274,113.8213855922222,111.97024822235107,116.78315752744676,113.86743229627608,112.0492337346077,113.80927547812462,107.71189631521702,110.4409278035164,108.3025724887848,109.47164288163184,111.64008685946465,110.02219021320344,113.99729636311532,113.76418220996857,117.4293967485428,115.10693499445917,109.74039539694786,110.1023416519165,108.4431567043066,109.2365063726902,106.95240886509418,105.54444827139378,108.49887865781784,110.42242634296416,110.82824727892876,112.39247897267342,113.58344328403471,112.75666376948357,109.20986929535866,109.57273665070534,108.22116319835186,106.89014774560928,105.6270793825388,105.5952894091606,107.5524387806654,
MT,51015.0,12.632861347527554,8.892457713641802,603.0,10.0,750.0,64.0,"[100, 200, 0]",3.0,0.0,94.35775953531268,138.74842666834593,141.47073157131672,150.6035951077938,143.5883348286152,160.26580077409744,142.39310732483864,155.34656509757042,146.50528460741043,139.5546793937683,136.60083596408367,141.52880734205246,126.0288486685604,134.72281001508236,135.73374962806702,148.4043070077896,134.80146978795528,157.06292951107025,161.53260877728462,147.4315726608038,151.23575910925865,153.34225010871887,131.8739209920168,137.55169259756804,142.51315392553806,135.71590423583984,145.21308909356594,153.6376990377903,149.29128374159336,157.86883676052094,157.5485453903675,154.37083220481873,151.3098222613335,147.40040422976017,143.8754684627056,134.99822664260864,139.3745518028736,140.037156149745,137.03859977424145,147.6010137051344,155.0984297990799,157.97220635414124,159.29295900464058,160.81329199671745,150.0859328508377,144.6002332866192,146.7511414885521,136.72765018045902,138.0568089708686,146.6427429318428,146.4354785680771,151.32472348213196,158.8988325893879,158.822639554739,157.67224037647247,162.04796874523163,156.88217064738274,152.09142816066742,145.44230610132217,143.3582929223776,147.7087961435318,137.0719095915556,152.64970383048058,141.1207637488842,155.35899329185486,154.1337621808052,138.6991400271654,138.84450002014637,142.92763513326645,141.6764026582241,142.51636451482773,137.91405795514584,139.2925399541855,144.92889553308487,152.95831367373466,154.12412670254707,152.83583706617355,142.34722048044205,148.44580307602882,137.98593954741955,138.17840258777142,147.22695219516754,137.28461988270283,137.08944296836853,142.75737193226814,138.37001119554043,148.71614834666252,148.5577211380005,148.03000816702843,146.4962456524372,143.6473447084427,136.09590911120176,140.6634945422411,139.10369984805584,139.46441397070885,135.32773745059967,138.14500127732754,137.65315766632557,144.80173635482788,141.64931924641132,144.96086111664772,140.1815343350172,138.6231333464384,135.25893531739712,131.76842921599746,134.97514814138412,133.88386579602957,130.79971513710916,136.45527330040932,137.86004731059074,139.23268695175648,138.18629418313503,141.1891918927431,136.11360847204924,139.46256783604622,134.89682713896036,134.5664719864726,134.73661612719297,133.8350052088499,130.07248550467193,
MT,51016.0,8.490016463398934,11.430493773091174,749.0,10.0,750.0,32.0,"[100, 100, 100]",3.0,0.0,74.77809220552444,67.28013072907925,73.51750439405441,69.31038096547127,68.53083093464375,75.25420129299164,79.67650538682938,70.83439961075783,73.20825025439262,77.68182763457298,86.5018475651741,76.83360540866852,71.02667501568794,73.5350991487503,72.84171029925346,72.27751818299294,77.47668915987015,76.35199519991875,74.59400862455368,77.30323821306229,74.00725877285004,78.07883006334305,77.35090956091881,70.47528785467148,71.56786888837814,73.16932746767998,72.65980833768845,74.75401535630226,74.41589921712875,75.18248796463013,72.05710139870644,72.41976395249367,74.82659342885017,75.43869400024414,74.4844720363617,74.31993353366852,74.68135011196136,75.24232617020607,75.34156835079193,73.76244550943375,73.73037093877792,75.20564544200897,74.42643538117409,73.71776705980301,74.38757419586182,74.72699558734894,73.26422035694122,74.22970724105835,74.42893081903458,73.76717254519463,72.48258110880852,72.75516265630722,73.0357186794281,72.56241768598557,72.75063785910606,73.26802104711533,73.01841101050377,73.33954957127571,72.96336609125137,73.76180392503738,71.87166285514833,69.57857799530031,68.98157271742822,77.73288679122926,61.28473629429937,69.24026355147363,66.66890943050386,73.57712703943254,62.01749560236932,65.04058673977853,68.25477266311647,57.1999164223671,64.15016869455577,60.40423349291087,60.66099718213082,81.7487030029297,80.3603676557541,70.97913992404939,66.46745622158052,71.94861847162248,64.90014377236368,65.9723472595215,69.72452467679979,64.57273427397014,68.69194367527963,65.63714140653612,63.39187593013049,71.62288296222688,67.35174548625947,60.20220747590066,62.94089525192977,69.98722407221796,64.10700797289611,64.74684962630273,69.52344322204591,59.25452974438668,68.22155886888505,70.59556284546854,62.63100388646127,76.33053243160249,69.21634173393251,61.76017881929875,65.05981156229974,69.22153690457345,66.96384191513063,65.32548373937608,69.70287406444551,62.5947309434414,69.91995909810068,69.33518165349962,63.98833609372378,66.28939285874368,61.80832411348821,64.76017645001413,62.42899946123362,67.84275200963022,64.7316959500313,62.366517849266536,68.70103162527086,59.57463793456555,
MT,51004.0,8.469054912403227,7.400392022367486,749.0,10.0,750.0,32.0,"[150, 50, 0]",3.0,0.0,117.47257363796234,114.00147226452827,116.97444002330305,124.14120815694332,142.48420667648315,121.678457736969,116.18356938660143,115.42671048641203,118.27903045713902,115.7697910964489,104.71566704660654,111.90508092939854,106.48571524769068,119.99643248319626,123.81131641566752,124.53500154614449,126.48333750665188,121.974969252944,116.85564547777176,113.07672003656626,113.94274172186852,112.07554887980224,102.44595624506474,102.25915279984474,108.4253327101469,117.96495807170868,120.0890703201294,124.31491017341614,123.28250835835934,119.77032475173472,115.74428290128708,111.8152363151312,111.07991437613964,109.15727120637894,103.674267411232,101.33080095797776,106.89260885119438,113.1766906902194,115.2925192117691,114.69975849986076,114.77940906584264,112.40309795737268,109.27227911353113,109.41762506216764,109.27091650664806,106.33536092936993,104.04495477676392,103.57395549863575,104.54512015730144,109.6642629802227,112.88844711333512,111.63824315369128,110.54120130836964,108.94765320420264,106.68438017368317,106.84820511192083,107.27227582037447,105.846942871809,105.4309943690896,104.01653070002794,112.99930404871702,105.08013281226158,124.37896241247654,110.31149153411388,117.18095876276492,117.30301044881344,106.57221285253765,108.79656900465488,103.75124862790108,105.54724222421646,107.98985715210438,108.57072237879038,108.38032296299934,111.48377308249474,124.38853466510773,119.58893772959708,115.30242422223093,113.41451295465232,108.0170777142048,107.36867600679398,105.9842552691698,106.2309041172266,105.62720368802547,106.5942975282669,111.39363457262516,111.2928526699543,117.94049915671349,113.49389634281395,110.47121407836676,110.19105263054372,105.31416722387075,106.36300411820412,104.65981595218182,106.36978314816952,106.20066080242395,105.54212091118096,108.9717526435852,110.79140119254588,114.80285999178886,112.15669807046652,109.95640735328196,110.80356749892236,105.78781642019749,106.37670305371284,104.4978685453534,105.48498614877462,105.25404492765664,106.56022264063358,110.65150445699692,110.70330780744553,113.57472249120474,112.45763016492128,109.23880780488253,109.07724173367023,105.30674210935832,105.63461058586836,105.23025274276732,105.45894845575094,105.34742479026318,106.35422489792109,
MT,51009.0,5.353720145548383,23.969331425209216,749.0,10.0,750.0,64.0,"[100, 50, 150]",3.0,0.0,16.36307430267334,16.016867637634277,19.48143982887268,22.28437131643296,22.9110024869442,18.36315143108368,20.66468703746796,18.32803452014923,18.05860948562622,20.675318598747253,23.99219954386353,21.90876853466034,16.312952041625977,20.04058098793029,23.09178042411804,24.78920727968216,27.140597105026245,23.255860313773155,21.394124507904053,23.38189624249935,22.626063376665115,27.10467088222504,21.574068009853363,22.565943986177444,20.813812136650085,24.614702001214027,22.76710456609726,28.35508954524994,26.950842797756195,23.471302047371864,21.51878786087036,22.75681918859481,25.30034413933754,21.093815982341766,20.935530066490173,21.748568952083588,22.70872673392296,25.599034309387207,29.866188526153564,28.927780866622925,24.11458634957671,22.99714297056198,25.70210373401642,26.663651168346405,23.5140590518713,24.259146317839622,21.028091490268707,21.70692443847656,22.705974519252777,24.662613406777385,29.765809535980225,32.17642593383789,25.532704174518585,25.170540869235992,24.326939240098,24.507039964199063,24.242073565721512,28.1770008802414,22.28228116035461,22.793337643146515,19.758450150489807,22.952474176883698,20.335049629211422,21.61557573080063,22.4854833483696,26.951373159885406,29.98913490772248,27.87522840499878,25.25841048359871,19.82414281368256,19.439756512641907,17.171059370040894,22.065286338329315,21.87508356571197,21.8110790848732,20.7470498085022,25.130333214998245,25.409230202436447,27.161962151527405,26.519601702690125,25.03876581788063,21.23245847225189,21.4636834859848,21.084441483020782,24.65510880947113,24.832204163074493,24.93187764286995,25.542236924171448,25.52540212869644,25.64900922775269,25.72649306058884,22.53396400809288,23.826239939779043,22.33753234148025,20.36816132068634,23.70363114774227,25.48729035258293,25.739261090755463,24.86322122812271,25.37181410193444,24.974007546901703,24.37153762578964,23.89051992818713,24.377994418144223,23.12653559446335,24.008436363190413,22.90800234675408,23.386189118027687,23.952114712446928,23.89469214901328,24.00120298191905,24.495369404554367,23.98375331237912,23.68790329992771,22.94411864876747,23.66716387867928,23.405994594097137,23.232642263174057,23.7229787260294,23.74098913371563,
MT,51010.0,7.760855722303192,8.473300578874671,749.0,10.0,750.0,32.0,"[150, 50, 50]",3.0,0.0,77.85346863418818,92.63558593392372,97.80860143899918,100.52230602502824,93.87996855378152,89.4240151643753,94.18001395463943,93.79656419157982,92.53660589456558,96.99329313635826,90.49540057778358,89.8257891535759,91.05555927753448,94.52282154560088,96.74958449602128,95.43710818886755,93.15758600831032,92.68064311146736,93.61889207363129,94.89106085896492,92.64910784363748,89.63416704535484,89.20728579163551,90.63279914855956,93.22685521841048,94.38183185458185,93.31883478164671,92.30885514616966,93.31177315115929,91.66727620363235,92.43461400270462,92.67167210578918,91.63247427344322,90.7031657397747,92.17619094252586,92.07735359668732,91.57672357559204,91.40570878982544,91.72276869416235,91.56000465154648,89.86960200965405,89.23232255876064,89.84277138113976,91.1104691028595,90.839120388031,90.46833297610284,90.37480756640434,90.00250063836575,89.52383607625961,89.13045552372932,89.38530614972115,89.04484620690346,88.82655484974384,88.38747499883175,88.6538370847702,88.8417321741581,88.46093498170376,88.12322868406773,88.06372293829918,88.25591921806335,77.84210623800755,87.02847465872765,95.03999382257462,93.48007506132126,92.20078518986702,86.06887517869473,85.32094199955463,82.58612981438637,81.6899805366993,86.20639435946941,82.57216665893793,83.17252968251705,81.58326701819897,87.17227065563202,90.1211307644844,88.43998366594315,88.77251562476158,85.36492812633514,85.98990365862846,84.37933804094791,83.53544516861439,83.72804659605026,82.96307767927647,83.59327086806297,84.27920711040497,88.06474812328815,90.66028293967248,88.57809315621853,86.38988208770752,84.25264573097229,84.27840106189251,83.22014345228672,83.80219116806984,83.74262002110481,82.72462788969278,82.87180648744106,84.4480373263359,86.3341984897852,87.05534860491753,86.72967018187046,85.74430602788925,85.58466850221157,84.24357789754868,82.68929213285446,82.87352985143661,82.93145322799683,82.14262179285288,82.64098485559225,83.78086867928505,85.19124463200569,85.4515541344881,85.25758692622185,85.35859100520611,84.79599632322788,84.77104789018631,83.16831937432289,82.47900775074959,82.7780020609498,82.44126276671886,83.22636675834656,
MT,51012.0,12.690211433172228,7.895785347555856,749.0,10.0,750.0,32.0,"[100, 100, 50]",3.0,0.0,165.33809185028076,164.63771772384644,169.71709418296814,165.68447875976562,167.27526259422302,159.47569704055786,160.27297401428223,159.47453832626343,162.66369128227234,163.27927541732788,164.41984510421753,164.57549905776978,162.6599555015564,167.86499881744385,172.1868872642517,166.79477167129517,165.9652180671692,164.5681734085083,161.7926857471466,161.71951937675476,166.5540852546692,158.9224238395691,159.51970887184143,161.43369460105896,164.98103189468384,162.11586618423462,161.50971698760986,161.54650616645813,160.38988399505615,157.95614624023438,156.643089056015,160.9840919971466,160.84999227523804,158.55639243125916,155.35187149047852,161.92048978805542,163.49155616760254,163.47688341140747,165.6010127067566,162.54401969909668,160.82373237609863,160.23524284362793,160.2348394393921,160.16349267959595,159.25760126113892,158.91134309768677,156.74201107025146,156.29351997375488,157.784117937088,159.99756050109863,159.0119194984436,159.1854648590088,154.52817475795746,151.45700573921204,151.98345685005188,154.17053759098053,155.3725781440735,155.2485635280609,152.80597341060638,154.02948021888733,168.97953808307648,163.7951374799013,161.8688065558672,166.8074981123209,167.1762701869011,163.1629215925932,156.47289164364338,163.04527536034584,164.17007394134998,157.67976969480517,168.88180024921894,168.31686325371265,160.56889660656452,161.72780133783817,165.28870165348053,180.07830813527107,170.15006937086582,163.52905981242657,162.3476754873991,158.21279361844063,157.55237452685833,158.84328313171864,159.87747840583324,160.46760231256485,162.12415650486946,163.72679337859154,165.20508378744125,169.60593312978745,157.74164475500584,156.62567250430584,157.88610704243183,155.10899350047112,155.5861360579729,157.17830665409565,158.37267011404035,157.69504129886627,160.94344846904278,162.3805219680071,165.56874372065067,164.20387759804726,155.96476942300797,155.11878564953804,154.64240580797195,156.1513064056635,156.57267346978188,157.1701306849718,157.68179208040235,156.93176791071892,159.02700908482075,163.22338573634624,165.09596355259418,158.4114670753479,152.5021730363369,153.92605997622013,154.89458173513412,155.3310734778643,154.58142094314098,155.76924838125706,154.30288054049015,155.8580518513918,
MT,51007.0,19.468107863267264,5.571695675584723,749.0,10.0,750.0,64.0,"[50, 0, 0]",3.0,0.0,354.80736768245697,340.1845665574074,341.6923633217812,360.5322321653366,371.55360120534897,360.9471685886383,350.08865970373154,343.9758472442627,330.9860054254532,339.1686034202576,333.6575046777725,338.95764631032944,341.418841779232,359.35006815195084,352.92846125364304,363.28789603710175,383.81845939159393,385.6543742418289,358.192999958992,367.1162816286087,331.9513593316078,343.07881647348404,345.5068539381027,349.4063712954521,347.7713375091553,341.0263676643372,353.39074701070786,354.5834046602249,363.017425596714,366.8876779675484,345.84060949087143,329.5669465661049,336.0542161464691,321.2816348671913,327.7835537791252,339.2167340517044,339.63049852848053,349.8530849814415,350.2967273592949,355.2732703089714,359.2096568346024,362.4347324371338,349.600355386734,346.3764719367027,336.6465138792992,338.03598445653915,337.84897816181183,345.52113956213,353.9640713334084,354.6165963411331,355.5899316072464,365.8903514742851,370.5895337462425,364.1348159909248,353.37858974933624,346.096693277359,342.49353021383286,335.5134571194649,337.6312520503998,343.1915388703346,332.6306727677584,338.24622988700867,365.61652460694313,351.2200638949871,351.67215579748154,338.2119734734297,320.95324148237705,327.1053178459406,322.1180156469345,315.5719624757767,309.3314268440008,330.3470764309168,333.9956406801939,331.90415927767754,346.7646057009697,318.6703258603811,329.3311170041561,330.1503311395645,323.6003432869911,329.5681890398264,315.0475464910269,323.31641413271427,319.3129543364048,319.7836162894964,322.38415645062923,313.9925656467676,329.3632863909006,316.58656047284603,325.3989377766848,315.9164976924658,316.24534280598164,313.72122971713543,306.31267530471087,308.1491186618805,310.91601879894733,319.40398685634136,323.1387363374233,327.70124255120754,332.87000761926174,324.79764963686466,332.08879382908344,327.3256375640631,321.65846206247807,322.79057313501835,315.794013902545,312.9122150838375,318.80831648409367,317.4895474165678,321.4730009287596,331.2455078214407,332.66552387177944,339.2982933819294,341.2079827785492,339.2609438300133,336.62814451754093,334.23508773744106,332.8753074705601,328.692748606205,327.6543555110693,328.98748691380024,
MT,51006.0,10.552736178040504,6.609766746610084,749.0,10.0,750.0,32.0,"[200, 50, 0]",3.0,0.0,152.36968207359314,158.10671705007553,154.3277304172516,161.77034187316897,158.52742153406143,160.4216064810753,158.82288473844528,166.16090792417526,161.25492411851883,156.3387166261673,149.93921625614166,148.64126402139664,153.57777136564255,156.5514783859253,165.66562014818192,160.28222101926804,159.02534234523773,161.03883641958237,162.24998342990875,158.46929359436035,162.3453136086464,155.93187469244003,150.73766070604324,150.9973343014717,154.52396976947784,157.78706926107407,161.45692574977875,165.01581925153732,165.2361671924591,162.7088199853897,166.64622682332993,164.7824223637581,163.5579760670662,159.9962975382805,153.9697762131691,153.22229373455048,156.04492980241776,161.39021474123,167.35405284166336,165.5705537199974,165.58416146039963,166.63558292388916,167.26843225955963,167.97148394584656,166.22011321783066,161.47031444311142,156.9376002550125,155.99160301685333,156.45957696437836,162.35429900884628,168.49756795167923,169.40343934297562,168.46052664518356,168.8477571606636,170.03177362680435,169.71660512685776,167.50394362211227,163.46285152435303,158.79763174057007,157.14242267608645,167.8931452929974,145.21367935836318,160.2550924420357,156.65803343057635,172.89339631795886,161.77364706993106,155.65055093169215,156.9157532155514,149.84072057902816,146.23102045059207,146.48822551965716,135.00039324164393,144.90333624184134,150.80468665063384,158.3529062867165,157.21289208531385,153.50600492954257,151.24052362143996,154.32343494892123,149.75945152342322,152.1410598754883,145.06951048970225,144.73342393338683,139.18434305489066,141.38836677372458,144.76200850307944,145.60812501609328,147.65350921452048,151.12619553506377,143.9853862822056,147.40239919722083,144.3979642093182,145.48365549743178,140.85060076415542,136.54154950380328,134.33024077117446,137.53547611832622,140.91089132428172,142.78805769979957,145.44241961836818,146.6711993813515,144.53114312887195,146.62977494299415,141.0352843999863,142.2899502962828,138.02450464665893,138.1066527962685,134.04807707667354,137.70527121424678,139.4461219608784,140.7416695505381,142.4979082643986,144.1853279322386,141.4319621920586,144.45977088809016,138.86460000276568,140.45514096319678,136.20553429424766,135.46286293864253,133.31520316004756,
MT,51011.0,18.12084705509866,7.188965196341273,749.0,10.0,750.0,32.0,"[50, 50, 0]",3.0,0.0,259.4759397730232,242.4565086513757,250.54202594980595,262.54440326429904,272.4330441057682,254.41083357110617,256.3933520875871,241.700095936656,230.36856979131696,262.60982390120625,238.47650851309297,239.03395670652387,243.17507566511628,264.3113409746438,265.2982331775129,275.3949306756258,274.6136273294687,266.1182144470513,249.6833935119212,256.63598223403096,252.0425933487713,245.7938246876001,245.68825776875016,234.8398543298244,235.8265828341245,261.9715825431049,261.2681208588183,279.5678008198738,275.2176546305418,270.3832197785377,259.43461802974343,247.3120884299278,255.5729723088443,247.82968570292,241.8890597075224,230.90974810719487,238.9489432871341,251.0872048474848,260.40105636045337,269.6848880201578,258.0510834902525,249.82414189353585,251.42742750421164,255.7024582289159,248.31464183330533,231.14900852739808,220.8922828286886,213.07241415977475,225.41866302490232,241.50744560360903,248.85442395880816,271.18738882243633,266.9415140450001,263.74883044697344,250.7871964164078,245.0095163285732,228.7893637120724,218.7060331702232,218.08517554402349,212.5256032049656,251.84320074692369,252.1957969032228,251.86994170024988,256.5005806349218,266.86267188563943,269.0634600892663,248.33312815427777,265.0075073353946,237.5609315037727,257.84794571157545,238.9749252423644,225.98338577151296,238.5473065599799,231.968275859952,232.2468154877424,236.36640368402,243.4138516783714,255.3572422377765,246.8829968124628,242.7024775445461,234.30835288763043,239.4298199787736,240.9001232087612,237.99437574297187,231.5267924368381,231.21231375634667,225.060038536787,223.27937267720696,231.33389426767823,231.31857630610463,226.64673039317128,234.2866700440645,225.9424759149551,226.3264106661081,227.31875209510324,229.23961997032163,229.5042497962713,231.6978303343057,224.36817304790017,224.27073684334752,226.5197453647852,221.28688298165795,221.34689030051229,225.8487910479307,218.85559381544587,215.04090881347653,216.7500063627958,216.89111804962155,213.31231670081613,213.47942864894864,216.6939954012632,211.72315493226048,211.2762500941753,210.76418688893315,212.1114239990711,212.1899993121624,204.7936459481716,205.19579383730888,207.7164448201656,202.0142090022564,
