"","uf","ibge","municipio","total_equipe","total_pop","medicos","enfermeiros","tecnicos","acs"
"1","BA","290010","ABAÍRA",3.27744285714286,8486,3.27744285714286,3.27744285714286,6.55488571428571,11.3146666666667
"2","BA","290020","ABARÉ",7.24098571428571,18032,7.24098571428571,7.24098571428571,14.4819714285714,24.0426666666667
"3","BA","290030","ACAJUTIBA",6.66335714285714,16276,6.66335714285714,6.66335714285714,13.3267142857143,21.7013333333333
"4","BA","290035","ADUSTINA",5.46831428571429,14103,5.46831428571429,5.46831428571429,10.9366285714286,18.804
"5","BA","290040","ÁGUA FRIA",5.7606,14365,5.7606,5.7606,11.5212,19.1533333333333
"6","BA","290050","ÉRICO CARDOSO",4.35461428571429,11181,4.35461428571429,4.35461428571429,8.70922857142857,14.908
"7","BA","290060","AIQUARA",1.4515,4139,1.4515,1.4515,2.903,5.51866666666667
"8","BA","290070","ALAGOINHAS",46.9154714285714,123507,46.9154714285714,46.9154714285714,93.8309428571429,164.676
"9","BA","290080","ALCOBAÇA",10.4337285714286,26706,10.4337285714286,10.4337285714286,20.8674571428571,35.608
"10","BA","290090","ALMADINA",2.34005714285714,6076,2.34005714285714,2.34005714285714,4.68011428571429,8.10133333333333
"11","BA","290100","AMARGOSA",14.8705571428571,38674,14.8705571428571,14.8705571428571,29.7411142857143,51.5653333333333
"12","BA","290110","AMÉLIA RODRIGUES",7.98292857142857,21123,7.98292857142857,7.98292857142857,15.9658571428571,28.164
"13","BA","290115","AMÉRICA DOURADA",6.67828571428571,16722,6.67828571428571,6.67828571428571,13.3565714285714,22.296
"14","BA","290120","ANAGÉ",8.59295714285714,22516,8.59295714285714,8.59295714285714,17.1859142857143,30.0213333333333
"15","BA","290130","ANDARAÍ",5.33712857142857,13261,5.33712857142857,5.33712857142857,10.6742571428571,17.6813333333333
"16","BA","290135","ANDORINHA",4.99182857142857,13764,4.99182857142857,4.99182857142857,9.98365714285714,18.352
"17","BA","290140","ANGICAL",6.02245714285714,14457,6.02245714285714,6.02245714285714,12.0449142857143,19.276
"18","BA","290150","ANGUERA",3.76321428571429,9608,3.76321428571429,3.76321428571429,7.52642857142857,12.8106666666667
"19","BA","290160","ANTAS",4.47031428571429,11890,4.47031428571429,4.47031428571429,8.94062857142857,15.8533333333333
"20","BA","290170","ANTÔNIO CARDOSO",4.2181,11120,4.2181,4.2181,8.4362,14.8266666666667
"21","BA","290180","ANTÔNIO GONÇALVES",3.77004285714286,10626,3.77004285714286,3.77004285714286,7.54008571428571,14.168
"22","BA","290190","APORÁ",6.39998571428571,16148,6.39998571428571,6.39998571428571,12.7999714285714,21.5306666666667
"23","BA","290195","APUAREMA",3.0566,8347,3.0566,3.0566,6.1132,11.1293333333333
"24","BA","290200","ARACATU",5.68975714285714,15032,5.68975714285714,5.68975714285714,11.3795142857143,20.0426666666667
"25","BA","290205","ARAÇAS",4.66148571428571,10999,4.66148571428571,4.66148571428571,9.32297142857143,14.6653333333333
"26","BA","290210","ARACI",14.5667,39863,14.5667,14.5667,29.1334,53.1506666666667
"27","BA","290220","ARAMARI",4.28435714285714,10033,4.28435714285714,4.28435714285714,8.56871428571429,13.3773333333333
"28","BA","290225","ARATACA",3.24914285714286,9043,3.24914285714286,3.24914285714286,6.49828571428571,12.0573333333333
"29","BA","290230","ARATUÍPE",3.97157142857143,9303,3.97157142857143,3.97157142857143,7.94314285714286,12.404
"30","BA","290240","AURELINO LEAL",4.8074,12058,4.8074,4.8074,9.6148,16.0773333333333
"31","BA","290250","BAIANÓPOLIS",5.29301428571429,13943,5.29301428571429,5.29301428571429,10.5860285714286,18.5906666666667
"32","BA","290260","BAIXA GRANDE",6.03175714285714,15605,6.03175714285714,6.03175714285714,12.0635142857143,20.8066666666667
"33","BA","290265","BANZAÊ",5.12785714285714,13563,5.12785714285714,5.12785714285714,10.2557142857143,18.084
"34","BA","290270","BARRA",17.4272857142857,43327,17.4272857142857,17.4272857142857,34.8545714285714,57.7693333333333
"35","BA","290280","BARRA DA ESTIVA",10.2406857142857,28059,10.2406857142857,10.2406857142857,20.4813714285714,37.412
"36","BA","290290","BARRA DO CHOÇA",16.2238142857143,40398,16.2238142857143,16.2238142857143,32.4476285714286,53.864
"37","BA","290300","BARRA DO MENDES",5.96412857142857,16217,5.96412857142857,5.96412857142857,11.9282571428571,21.6226666666667
"38","BA","290310","BARRA DO ROCHA",2.40928571428571,6118,2.40928571428571,2.40928571428571,4.81857142857143,8.15733333333333
"39","BA","290320","BARREIRAS",51.6915857142857,137922,51.6915857142857,51.6915857142857,103.383171428571,183.896
"40","BA","290323","BARRO ALTO",5.64885714285714,14619,5.64885714285714,5.64885714285714,11.2977142857143,19.492
"41","BA","290327","BARROCAS",6.57101428571429,17416,6.57101428571429,6.57101428571429,13.1420285714286,23.2213333333333
"42","BA","290330","BARRO PRETO",2.61512857142857,7119,2.61512857142857,2.61512857142857,5.23025714285714,9.492
"43","BA","290340","BELMONTE",6.80991428571429,17408,6.80991428571429,6.80991428571429,13.6198285714286,23.2106666666667
"44","BA","290350","BELO CAMPO",7.43515714285714,19874,7.43515714285714,7.43515714285714,14.8703142857143,26.4986666666667
"45","BA","290360","BIRITINGA",6.61774285714286,16299,6.61774285714286,6.61774285714286,13.2354857142857,21.732
"46","BA","290370","BOA NOVA",6.26855714285714,16031,6.26855714285714,6.26855714285714,12.5371142857143,21.3746666666667
"47","BA","290380","BOA VISTA DO TUPIM",6.0813,15888,6.0813,6.0813,12.1626,21.184
"48","BA","290390","BOM JESUS DA LAPA",25.9931142857143,71606,25.9931142857143,25.9931142857143,51.9862285714286,95.4746666666667
"49","BA","290395","BOM JESUS DA SERRA",4.12232857142857,10069,4.12232857142857,4.12232857142857,8.24465714285714,13.4253333333333
"50","BA","290400","BONINAL",5.30442857142857,12889,5.30442857142857,5.30442857142857,10.6088571428571,17.1853333333333
"51","BA","290405","BONITO",5.60778571428571,14986,5.60778571428571,5.60778571428571,11.2155714285714,19.9813333333333
"52","BA","290410","BOQUIRA",6.25134285714286,16103,6.25134285714286,6.25134285714286,12.5026857142857,21.4706666666667
"53","BA","290420","BOTUPORÃ",3.61231428571429,10863,3.61231428571429,3.61231428571429,7.22462857142857,14.484
"54","BA","290430","BREJÕES",5.52384285714286,14088,5.52384285714286,5.52384285714286,11.0476857142857,18.784
"55","BA","290440","BREJOLÂNDIA",3.47167142857143,9054,3.47167142857143,3.47167142857143,6.94334285714286,12.072
"56","BA","290450","BROTAS DE MACAÚBAS",4.76624285714286,12082,4.76624285714286,4.76624285714286,9.53248571428571,16.1093333333333
"57","BA","290460","BRUMADO",24.8653142857143,67881,24.8653142857143,24.8653142857143,49.7306285714286,90.508
"58","BA","290470","BUERAREMA",6.79715714285714,17404,6.79715714285714,6.79715714285714,13.5943142857143,23.2053333333333
"59","BA","290475","BURITIRAMA",7.51517142857143,19206,7.51517142857143,7.51517142857143,15.0303428571429,25.608
"60","BA","290480","CAATIBA",2.42012857142857,6588,2.42012857142857,2.42012857142857,4.84025714285714,8.784
"61","BA","290485","CABACEIRAS DO PARAGUAÇU",7.13437142857143,18205,7.13437142857143,7.13437142857143,14.2687428571429,24.2733333333333
"62","BA","290490","CACHOEIRA",11.5639714285714,29695,11.5639714285714,11.5639714285714,23.1279428571429,39.5933333333333
"63","BA","290500","CACULÉ",9.34861428571429,24456,9.34861428571429,9.34861428571429,18.6972285714286,32.608
"64","BA","290510","CAÉM",4.4321,10766,4.4321,4.4321,8.8642,14.3546666666667
"65","BA","290515","CAETANOS",5.00057142857143,12413,5.00057142857143,5.00057142857143,10.0011428571429,16.5506666666667
"66","BA","290520","CAETITÉ",12.3737142857143,32429,12.3737142857143,12.3737142857143,24.7474285714286,43.2386666666667
"67","BA","290530","CAFARNAUM",7.14444285714286,18525,7.14444285714286,7.14444285714286,14.2888857142857,24.7
"68","BA","290540","CAIRU",8.70035714285714,22878,8.70035714285714,8.70035714285714,17.4007142857143,30.504
"69","BA","290550","CALDEIRÃO GRANDE",5.06798571428571,12135,5.06798571428571,5.06798571428571,10.1359714285714,16.18
"70","BA","290560","CAMACAN",10.3088571428571,27304,10.3088571428571,10.3088571428571,20.6177142857143,36.4053333333333
"71","BA","290570","CAMAÇARI",97.4853428571429,247315,97.4853428571429,97.4853428571429,194.970685714286,329.753333333333
"72","BA","290580","CAMAMU",12.6278,31803,12.6278,12.6278,25.2556,42.404
"73","BA","290590","CAMPO ALEGRE DE LOURDES",11.3624142857143,29025,11.3624142857143,11.3624142857143,22.7248285714286,38.7
"74","BA","290600","CAMPO FORMOSO",26.0033857142857,66058,26.0033857142857,26.0033857142857,52.0067714285714,88.0773333333333
"75","BA","290610","CANÁPOLIS",3.95285714285714,10396,3.95285714285714,3.95285714285714,7.90571428571429,13.8613333333333
