codibge,mae_mlp_2021,mape_mlp_2021,jan-2021,feb-2021,mar-2021,apr-2021,may-2021,jun-2021,jul-2021,aug-2021,sep-2021,oct-2021,nov-2021,dec-2021,jan-2022,feb-2022,mar-2022,apr-2022,may-2022,jun-2022,jul-2022,aug-2022,sep-2022,oct-2022,nov-2022,dec-2022,jan-2023,feb-2023,mar-2023,apr-2023,may-2023,jun-2023,jul-2023,aug-2023,sep-2023,oct-2023,nov-2023,dec-2023
5206,19.989898681640625,2.6658298450158564,762.1706,757.7335,802.75574,765.94366,768.31793,743.3313,750.1459,734.2763,729.0848,722.0098,718.3785,731.99164,743.9589,753.8459,771.8812,744.61945,737.91064,721.5215,723.5388,719.7072,706.68384,698.8178,705.1968,722.73956,730.8329,750.7672,753.3837,729.1878,713.51984,704.9541,707.40094,706.891,692.22675,680.23083,695.01294,716.3265
5207,26.355672200520832,1.7012717594257023,1538.4013671875,1424.2882080078125,1719.6480712890625,1634.0440673828125,1609.8272705078125,1506.7076416015625,1560.1297607421875,1540.7816162109375,1485.327392578125,1482.4046630859375,1416.73779296875,1458.500732421875,1584.641845703125,1460.7774658203125,1716.42919921875,1648.527099609375,1620.96728515625,1469.7122802734375,1586.841552734375,1527.51220703125,1519.053955078125,1536.5576171875,1486.048828125,1548.07421875,1626.046875,1415.2783203125,1761.76904296875,1669.875244140625,1637.82080078125,1486.90185546875,1526.6390380859375,1476.5443115234375,1455.2362060546875,1483.0184326171875,1432.8388671875,1498.3397216796875
5208,41.73386637369792,1.7080043233392757,2417.469970703125,2336.95654296875,2634.092041015625,2509.2431640625,2513.03076171875,2425.861328125,2379.493408203125,2356.385498046875,2405.248291015625,2393.0390625,2280.32470703125,2392.779296875,2377.81103515625,2296.962158203125,2489.015625,2388.078125,2402.11328125,2354.230712890625,2321.397705078125,2323.318603515625,2343.755859375,2344.703369140625,2296.603271484375,2383.547119140625,2392.009765625,2317.147705078125,2392.990478515625,2326.251220703125,2324.809326171875,2318.307861328125,2293.81689453125,2297.11962890625,2309.110107421875,2316.673583984375,2328.919189453125,2397.007080078125
5209,27.237864176432293,2.220654930289964,1200.6109619140625,1185.5966796875,1342.3565673828125,1265.2550048828125,1313.204345703125,1195.87353515625,1227.2689208984375,1181.1209716796875,1198.5714111328125,1163.1478271484375,1147.79345703125,1173.411865234375,1216.4635009765625,1223.2230224609375,1345.587646484375,1268.046875,1307.1409912109375,1189.151611328125,1217.1295166015625,1173.8525390625,1193.6439208984375,1157.2548828125,1145.22119140625,1170.57470703125,1231.9505615234375,1262.0303955078125,1347.4661865234375,1268.420166015625,1289.8197021484375,1187.2529296875,1212.18603515625,1163.6617431640625,1189.1397705078125,1139.93017578125,1139.94921875,1172.4737548828125
5210,34.36333211263021,2.139877361583842,1609.3358154296875,1594.395263671875,1763.7916259765625,1701.386474609375,1710.5567626953125,1575.759033203125,1571.847900390625,1562.1934814453125,1573.7711181640625,1539.540283203125,1518.093017578125,1523.437744140625,1572.8961181640625,1564.97265625,1705.211669921875,1659.5450439453125,1631.14111328125,1530.474365234375,1540.7362060546875,1519.826416015625,1522.3153076171875,1524.7725830078125,1497.92138671875,1503.0809326171875,1548.0123291015625,1550.1292724609375,1658.4219970703125,1611.90087890625,1581.1376953125,1501.218505859375,1511.322021484375,1496.0758056640625,1493.3175048828125,1502.9337158203125,1478.6195068359375,1490.3917236328125
